ticket_id,created_at,category,description,resolution_minutes,escalated,channel,customer_tier
TKT-00717,2025-02-19T21:28:00Z,billing question,Customer requests an explanation of a service charge for HP-94671.,59,False,phone,employer plan
TKT-01456,2025-02-19T21:33:00Z,insurance eligibility,Employer-plan eligibility status needs validation for HP-66451.,61,False,email,employer plan
TKT-00125,2025-02-19T22:58:00Z,billing question,Customer asks about an administrative statement under HP-67418.,35,False,email,employer plan
TKT-00132,2025-02-20T00:53:00Z,prescription refill request,Refill request status inquiry references HP-23189; no clinical details included.,82,True,web portal,standard
TKT-01964,2025-02-20T01:01:00Z,referral status,Customer requests administrative referral status for HP-78011.,31,False,email,medicare support
TKT-02348,2025-02-20T02:10:00Z,portal access,Customer reports a locked portal account under HP-61853.,13,False,chat,standard
TKT-02067,2025-02-20T03:52:00Z,appointment scheduling,Administrative scheduling request for reference HP-84802.,12,False,phone,premium care
TKT-02180,2025-02-20T04:54:00Z,appointment scheduling,Customer asks about available scheduling options for HP-27674.,19,False,phone,employer plan
TKT-01424,2025-02-20T05:15:00Z,appointment scheduling,Caller requests an appointment-time change under HP-12138.,15,False,phone,employer plan
TKT-00204,2025-02-20T07:04:00Z,insurance eligibility,Coverage administration question references HP-82608.,41,False,phone,standard
TKT-01614,2025-02-20T07:56:00Z,portal access,Customer cannot access the service portal under HP-17219.,6,False,email,premium care
TKT-00584,2025-02-20T08:24:00Z,general inquiry,Customer request requires manual routing under HP-34264.,89,True,email,standard
TKT-02751,2025-02-20T09:52:00Z,medical records request,Customer asks which authorization form applies to HP-32142.,59,False,phone,standard
TKT-00752,2025-02-20T10:52:00Z,appointment scheduling,Administrative scheduling request for reference HP-68114.,10,False,phone,standard
TKT-01131,2025-02-20T11:48:00Z,insurance eligibility,Coverage administration question references HP-41997.,56,False,phone,standard
TKT-02603,2025-02-20T12:05:00Z,general inquiry,Uncategorized administrative inquiry references HP-26980.,15,False,phone,employer plan
TKT-00181,2025-02-20T12:07:00Z,billing question,Payment posting question references HP-33675.,51,False,email,premium care
TKT-01064,2025-02-20T13:02:00Z,portal access,Portal password reset requested for HP-16957.,12,False,chat,medicare support
TKT-01874,2025-02-20T15:05:00Z,billing question,Customer requests an explanation of a service charge for HP-12793.,44,False,phone,medicare support
TKT-00920,2025-02-20T15:07:00Z,prescription refill request,Administrative refill request requires licensed-team review under HP-57420.,76,True,email,standard
TKT-01069,2025-02-20T15:43:00Z,appointment scheduling,Caller requests an appointment-time change under HP-73753.,16,False,phone,employer plan
TKT-01276,2025-02-20T16:06:00Z,insurance eligibility,Customer requests administrative eligibility verification for HP-89448.,32,False,web portal,employer plan
TKT-02971,2025-02-20T17:12:00Z,insurance eligibility,Coverage administration question references HP-64110.,76,False,chat,medicare support
TKT-00381,2025-02-20T17:35:00Z,appointment scheduling,Caller requests an appointment-time change under HP-92104.,24,False,email,standard
TKT-00363,2025-02-20T18:04:00Z,insurance eligibility,Employer-plan eligibility status needs validation for HP-61064.,84,True,phone,employer plan
TKT-02809,2025-02-20T18:45:00Z,appointment scheduling,Administrative scheduling request for reference HP-73810.,10,False,web portal,employer plan
TKT-00670,2025-02-20T21:01:00Z,appointment scheduling,Customer asks about available scheduling options for HP-11232.,48,True,phone,employer plan
TKT-00679,2025-02-20T22:31:00Z,appointment scheduling,Caller requests an appointment-time change under HP-38360.,10,False,phone,standard
TKT-02794,2025-02-21T02:38:00Z,insurance eligibility,Employer-plan eligibility status needs validation for HP-76662.,40,False,web portal,standard
TKT-02069,2025-02-21T06:34:00Z,billing question,Customer asks about an administrative statement under HP-46196.,44,True,chat,standard
TKT-01442,2025-02-21T07:16:00Z,appointment scheduling,Administrative scheduling request for reference HP-27813.,13,False,phone,medicare support
TKT-02577,2025-02-21T07:28:00Z,prescription refill request,Customer asks for refill-request routing under HP-35026.,91,False,email,premium care
TKT-01869,2025-02-21T08:41:00Z,billing question,Customer asks about an administrative statement under HP-52044.,73,False,web portal,standard
TKT-00326,2025-02-21T11:04:00Z,billing question,Payment posting question references HP-52501.,101,True,web portal,standard
TKT-01836,2025-02-21T12:38:00Z,appointment scheduling,Caller requests an appointment-time change under HP-67917.,11,False,phone,medicare support
TKT-02294,2025-02-21T12:40:00Z,medical records request,Records request status inquiry references HP-91612.,84,False,email,medicare support
TKT-01157,2025-02-21T14:09:00Z,referral status,Customer asks whether referral paperwork was received for HP-19201.,31,False,phone,employer plan
TKT-00481,2025-02-21T15:09:00Z,referral status,Customer asks whether referral paperwork was received for HP-71154.,28,False,phone,medicare support
TKT-01885,2025-02-21T15:32:00Z,billing question,Customer requests an explanation of a service charge for HP-38916.,100,True,phone,premium care
TKT-01806,2025-02-21T17:01:00Z,general inquiry,Customer request requires manual routing under HP-29577.,43,False,phone,employer plan
TKT-01761,2025-02-21T19:33:00Z,referral status,Customer requests administrative referral status for HP-95793.,26,False,phone,standard
TKT-02264,2025-02-21T20:49:00Z,appointment scheduling,Customer asks about available scheduling options for HP-72218.,8,False,web portal,medicare support
TKT-01441,2025-02-21T21:13:00Z,portal access,Customer cannot access the service portal under HP-96631.,5,False,web portal,premium care
TKT-01093,2025-02-21T21:27:00Z,insurance eligibility,Coverage administration question references HP-81390.,59,False,phone,standard
TKT-00624,2025-02-21T22:46:00Z,appointment scheduling,Caller requests an appointment-time change under HP-93300.,9,False,phone,standard
TKT-02471,2025-02-22T01:17:00Z,referral status,Customer asks whether referral paperwork was received for HP-69552.,40,False,web portal,standard
TKT-02189,2025-02-22T04:22:00Z,billing question,Customer requests an explanation of a service charge for HP-44260.,60,False,chat,employer plan
TKT-00362,2025-02-22T04:51:00Z,prescription refill request,Refill request status inquiry references HP-69315; no clinical details included.,89,False,web portal,standard
TKT-02508,2025-02-22T05:44:00Z,billing question,Payment posting question references HP-21118.,52,False,email,employer plan
TKT-02984,2025-02-22T09:50:00Z,general inquiry,Uncategorized administrative inquiry references HP-68259.,62,False,phone,standard
TKT-02652,2025-02-22T10:43:00Z,portal access,Customer cannot access the service portal under HP-67286.,6,False,chat,premium care
TKT-00916,2025-02-22T11:31:00Z,portal access,Customer cannot access the service portal under HP-11246.,12,False,email,premium care
TKT-02917,2025-02-22T13:12:00Z,appointment scheduling,Administrative scheduling request for reference HP-60100.,82,True,phone,premium care
TKT-00996,2025-02-22T14:29:00Z,billing question,Customer asks about an administrative statement under HP-88518.,41,False,web portal,standard
TKT-00591,2025-02-22T16:20:00Z,appointment scheduling,Caller requests an appointment-time change under HP-94394.,12,False,web portal,standard
TKT-02894,2025-02-22T19:49:00Z,insurance eligibility,Customer requests administrative eligibility verification for HP-47918.,81,False,phone,medicare support
TKT-02689,2025-02-22T20:48:00Z,referral status,Customer asks whether referral paperwork was received for HP-63577.,20,False,phone,employer plan
TKT-00496,2025-02-23T05:02:00Z,appointment scheduling,Customer asks about available scheduling options for HP-92587.,28,False,phone,standard
TKT-01952,2025-02-23T08:03:00Z,portal access,Customer cannot access the service portal under HP-58506.,12,False,web portal,standard
TKT-01653,2025-02-23T14:58:00Z,appointment scheduling,Customer asks about available scheduling options for HP-12986.,17,False,phone,standard
TKT-01132,2025-02-23T15:00:00Z,insurance eligibility,Employer-plan eligibility status needs validation for HP-73194.,67,False,phone,standard
TKT-01700,2025-02-23T19:35:00Z,referral status,Customer asks whether referral paperwork was received for HP-58970.,69,True,phone,medicare support
TKT-01056,2025-02-23T22:35:00Z,prescription refill request,Customer asks for refill-request routing under HP-21216.,58,False,phone,employer plan
TKT-02924,2025-02-23T23:24:00Z,billing question,Customer requests an explanation of a service charge for HP-29945.,47,False,phone,standard
TKT-01746,2025-02-24T00:42:00Z,portal access,Customer cannot access the service portal under HP-28717.,9,False,web portal,employer plan
TKT-02145,2025-02-24T00:58:00Z,referral status,Referral routing update requested under HP-95150.,28,False,phone,medicare support
TKT-02692,2025-02-24T02:15:00Z,insurance eligibility,Employer-plan eligibility status needs validation for HP-68757.,125,True,web portal,medicare support
TKT-01582,2025-02-24T02:42:00Z,portal access,Portal password reset requested for HP-74892.,5,False,email,employer plan
TKT-01280,2025-02-24T02:57:00Z,appointment scheduling,Caller requests an appointment-time change under HP-82810.,22,False,phone,medicare support
TKT-01909,2025-02-24T04:06:00Z,prescription refill request,Refill request status inquiry references HP-91510; no clinical details included.,102,True,email,employer plan
TKT-02547,2025-02-24T04:31:00Z,appointment scheduling,Customer asks about available scheduling options for HP-12670.,23,False,email,standard
TKT-01282,2025-02-24T05:05:00Z,appointment scheduling,Caller requests an appointment-time change under HP-49366.,14,False,web portal,standard
TKT-00193,2025-02-24T05:41:00Z,insurance eligibility,Coverage administration question references HP-28895.,87,True,phone,standard
TKT-02360,2025-02-24T05:44:00Z,appointment scheduling,Caller requests an appointment-time change under HP-73369.,22,False,web portal,standard
TKT-01337,2025-02-24T07:38:00Z,prescription refill request,Refill request status inquiry references HP-42687; no clinical details included.,82,False,email,medicare support
TKT-01972,2025-02-24T07:59:00Z,billing question,Customer asks about an administrative statement under HP-54948.,39,False,web portal,standard
TKT-01641,2025-02-24T09:04:00Z,medical records request,Customer asks which authorization form applies to HP-62313.,105,False,email,employer plan
TKT-00646,2025-02-24T09:39:00Z,insurance eligibility,Employer-plan eligibility status needs validation for HP-16618.,31,False,phone,employer plan
TKT-01012,2025-02-24T12:40:00Z,appointment scheduling,Customer asks about available scheduling options for HP-80115.,74,True,web portal,employer plan
TKT-01585,2025-02-24T13:50:00Z,insurance eligibility,Customer requests administrative eligibility verification for HP-94392.,77,False,phone,medicare support
TKT-00440,2025-02-24T14:12:00Z,billing question,Customer requests an explanation of a service charge for HP-47939.,97,True,phone,standard
TKT-00985,2025-02-24T14:14:00Z,prescription refill request,Administrative refill request requires licensed-team review under HP-80808.,73,False,email,premium care
TKT-01350,2025-02-24T14:44:00Z,medical records request,Records request status inquiry references HP-60664.,62,False,email,standard
TKT-02649,2025-02-24T17:06:00Z,billing question,Payment posting question references HP-46947.,64,False,email,standard
TKT-02351,2025-02-24T18:16:00Z,appointment scheduling,Customer asks about available scheduling options for HP-98243.,24,False,phone,employer plan
TKT-02153,2025-02-24T19:10:00Z,prescription refill request,Administrative refill request requires licensed-team review under HP-35371.,54,False,web portal,premium care
TKT-02998,2025-02-24T19:59:00Z,portal access,Portal password reset requested for HP-28790.,12,False,web portal,standard
TKT-02656,2025-02-24T21:08:00Z,portal access,Customer reports a locked portal account under HP-98634.,7,False,chat,employer plan
TKT-00465,2025-02-25T00:05:00Z,appointment scheduling,Caller requests an appointment-time change under HP-74381.,17,False,web portal,standard
TKT-01407,2025-02-25T01:18:00Z,appointment scheduling,Administrative scheduling request for reference HP-81959.,9,False,phone,medicare support
TKT-01593,2025-02-25T01:22:00Z,portal access,Portal password reset requested for HP-30025.,5,False,web portal,standard
TKT-00541,2025-02-25T02:52:00Z,billing question,Payment posting question references HP-65566.,67,False,web portal,standard
TKT-00741,2025-02-25T03:10:00Z,insurance eligibility,Customer requests administrative eligibility verification for HP-24939.,49,False,phone,standard
TKT-02815,2025-02-25T03:27:00Z,appointment scheduling,Caller requests an appointment-time change under HP-65505.,24,False,web portal,medicare support
TKT-00769,2025-02-25T04:24:00Z,billing question,Payment posting question references HP-69306.,114,True,chat,standard
TKT-00754,2025-02-25T05:46:00Z,referral status,Customer asks whether referral paperwork was received for HP-96236.,29,False,web portal,premium care
TKT-02668,2025-02-25T06:03:00Z,portal access,Customer reports a locked portal account under HP-65609.,16,False,web portal,employer plan
TKT-00265,2025-02-25T09:12:00Z,portal access,Portal password reset requested for HP-18361.,5,False,web portal,standard
TKT-02842,2025-02-25T10:27:00Z,appointment scheduling,Caller requests an appointment-time change under HP-66108.,17,False,web portal,medicare support
TKT-01655,2025-02-25T12:19:00Z,portal access,Customer cannot access the service portal under HP-19910.,7,False,web portal,employer plan
TKT-00147,2025-02-25T12:20:00Z,prescription refill request,Administrative refill request requires licensed-team review under HP-67650.,135,True,phone,medicare support
TKT-01554,2025-02-25T12:57:00Z,prescription refill request,Refill request status inquiry references HP-76297; no clinical details included.,104,True,web portal,medicare support
TKT-02459,2025-02-25T14:34:00Z,referral status,Referral routing update requested under HP-50770.,25,False,phone,employer plan
TKT-00089,2025-02-25T14:37:00Z,insurance eligibility,Employer-plan eligibility status needs validation for HP-57501.,56,False,phone,standard
TKT-01854,2025-02-25T16:48:00Z,referral status,Customer asks whether referral paperwork was received for HP-38504.,45,False,web portal,premium care
TKT-01528,2025-02-25T20:35:00Z,insurance eligibility,Coverage administration question references HP-62726.,65,True,phone,employer plan
TKT-00248,2025-02-25T20:43:00Z,portal access,Customer cannot access the service portal under HP-41994.,6,False,phone,employer plan
TKT-00685,2025-02-25T21:03:00Z,medical records request,Customer requests records-release instructions under HP-84702.,99,False,web portal,standard
TKT-01535,2025-02-25T21:17:00Z,insurance eligibility,Customer requests administrative eligibility verification for HP-25696.,40,False,web portal,standard
TKT-01499,2025-02-25T22:35:00Z,prescription refill request,Customer asks for refill-request routing under HP-14456.,86,True,phone,employer plan
TKT-01085,2025-02-25T23:06:00Z,appointment scheduling,Caller requests an appointment-time change under HP-45847.,21,False,phone,employer plan
TKT-01390,2025-02-26T00:45:00Z,medical records request,Customer requests records-release instructions under HP-41226.,104,False,email,employer plan
TKT-02569,2025-02-26T01:10:00Z,appointment scheduling,Administrative scheduling request for reference HP-55885.,14,False,phone,employer plan
TKT-00821,2025-02-26T03:02:00Z,prescription refill request,Refill request status inquiry references HP-40328; no clinical details included.,107,True,phone,standard
TKT-00151,2025-02-26T03:44:00Z,appointment scheduling,Administrative scheduling request for reference HP-43886.,10,False,web portal,employer plan
TKT-01687,2025-02-26T04:58:00Z,referral status,Customer asks whether referral paperwork was received for HP-48034.,43,False,phone,employer plan
TKT-02896,2025-02-26T06:19:00Z,appointment scheduling,Caller requests an appointment-time change under HP-86136.,57,True,phone,standard
TKT-02748,2025-02-26T07:24:00Z,appointment scheduling,Caller requests an appointment-time change under HP-59554.,11,False,phone,premium care
TKT-01233,2025-02-26T09:36:00Z,insurance eligibility,Customer requests administrative eligibility verification for HP-31862.,62,False,phone,medicare support
TKT-00863,2025-02-26T11:38:00Z,billing question,Payment posting question references HP-62737.,47,False,phone,employer plan
TKT-01010,2025-02-26T13:43:00Z,portal access,Customer cannot access the service portal under HP-39441.,12,False,web portal,standard
TKT-00082,2025-02-26T15:31:00Z,prescription refill request,Refill request status inquiry references HP-24225; no clinical details included.,58,False,email,standard
TKT-00744,2025-02-26T16:29:00Z,general inquiry,Multi-topic non-clinical inquiry recorded as HP-74111.,46,False,email,standard
TKT-01880,2025-02-26T20:01:00Z,appointment scheduling,Customer asks about available scheduling options for HP-28771.,13,False,email,standard
TKT-00214,2025-02-26T22:37:00Z,portal access,Customer reports a locked portal account under HP-17130.,9,False,web portal,employer plan
TKT-00034,2025-02-26T23:08:00Z,prescription refill request,Customer asks for refill-request routing under HP-94796.,112,True,phone,medicare support
TKT-00668,2025-02-26T23:16:00Z,appointment scheduling,Caller requests an appointment-time change under HP-50451.,27,False,phone,medicare support
TKT-02458,2025-02-27T00:14:00Z,portal access,Portal password reset requested for HP-73836.,6,False,web portal,standard
TKT-01678,2025-02-27T03:55:00Z,referral status,Referral routing update requested under HP-76545.,29,False,phone,standard
TKT-00314,2025-02-27T04:54:00Z,appointment scheduling,Customer asks about available scheduling options for HP-58945.,28,False,web portal,medicare support
TKT-01372,2025-02-27T05:44:00Z,appointment scheduling,Customer asks about available scheduling options for HP-13854.,23,False,phone,standard
TKT-02009,2025-02-27T05:53:00Z,portal access,Customer reports a locked portal account under HP-41953.,6,False,chat,medicare support
TKT-00108,2025-02-27T07:41:00Z,general inquiry,Customer request requires manual routing under HP-58304.,148,True,email,employer plan
TKT-02448,2025-02-27T11:16:00Z,referral status,Customer asks whether referral paperwork was received for HP-37512.,90,True,email,employer plan
TKT-01533,2025-02-27T11:43:00Z,appointment scheduling,Caller requests an appointment-time change under HP-86228.,24,False,web portal,employer plan
TKT-01325,2025-02-27T12:49:00Z,prescription refill request,Administrative refill request requires licensed-team review under HP-12321.,93,True,email,premium care
TKT-00254,2025-02-27T13:30:00Z,billing question,Customer requests an explanation of a service charge for HP-92869.,29,False,phone,standard
TKT-01044,2025-02-27T19:28:00Z,referral status,Customer requests administrative referral status for HP-30678.,19,False,email,medicare support
TKT-02021,2025-02-27T20:42:00Z,medical records request,Records request status inquiry references HP-92591.,97,False,chat,standard
TKT-02846,2025-02-28T01:34:00Z,prescription refill request,Customer asks for refill-request routing under HP-60641.,61,False,web portal,medicare support
TKT-01508,2025-02-28T05:24:00Z,appointment scheduling,Administrative scheduling request for reference HP-98048.,14,False,phone,employer plan
TKT-01094,2025-02-28T06:38:00Z,appointment scheduling,Caller requests an appointment-time change under HP-86209.,8,False,email,standard
TKT-01162,2025-02-28T07:22:00Z,insurance eligibility,Employer-plan eligibility status needs validation for HP-43498.,56,False,phone,standard
TKT-00308,2025-02-28T09:11:00Z,appointment scheduling,Customer asks about available scheduling options for HP-61479.,24,False,phone,medicare support
TKT-00372,2025-02-28T11:15:00Z,insurance eligibility,Coverage administration question references HP-25272.,75,False,phone,standard
TKT-02140,2025-02-28T12:14:00Z,portal access,Customer reports a locked portal account under HP-82584.,4,False,web portal,medicare support
TKT-00454,2025-02-28T12:52:00Z,appointment scheduling,Customer asks about available scheduling options for HP-19613.,62,True,email,standard
TKT-01347,2025-02-28T12:56:00Z,referral status,Customer requests administrative referral status for HP-49072.,25,False,email,standard
TKT-02835,2025-02-28T16:18:00Z,prescription refill request,Administrative refill request requires licensed-team review under HP-98583.,148,True,phone,standard
TKT-01821,2025-02-28T19:40:00Z,prescription refill request,Customer asks for refill-request routing under HP-50995.,123,True,web portal,employer plan
TKT-02013,2025-02-28T21:57:00Z,portal access,Customer cannot access the service portal under HP-70665.,10,False,email,employer plan
TKT-01011,2025-03-01T00:10:00Z,referral status,Referral routing update requested under HP-56604.,34,False,web portal,premium care
TKT-02609,2025-03-01T01:11:00Z,appointment scheduling,Caller requests an appointment-time change under HP-36213.,27,False,web portal,standard
TKT-00366,2025-03-01T01:51:00Z,referral status,Customer requests administrative referral status for HP-78257.,49,False,email,standard
TKT-02254,2025-03-01T02:17:00Z,general inquiry,Multi-topic non-clinical inquiry recorded as HP-10405.,44,False,email,employer plan
TKT-01607,2025-03-01T02:47:00Z,appointment scheduling,Administrative scheduling request for reference HP-86484.,11,False,phone,standard
TKT-02724,2025-03-01T03:19:00Z,billing question,Customer asks about an administrative statement under HP-85595.,33,False,phone,standard
TKT-01359,2025-03-01T04:38:00Z,prescription refill request,Refill request status inquiry references HP-92952; no clinical details included.,109,True,phone,standard
TKT-02024,2025-03-01T10:02:00Z,appointment scheduling,Customer asks about available scheduling options for HP-43912.,21,False,web portal,medicare support
TKT-01547,2025-03-01T12:25:00Z,insurance eligibility,Coverage administration question references HP-31744.,42,False,chat,employer plan
TKT-00220,2025-03-01T13:44:00Z,medical records request,Customer requests records-release instructions under HP-23164.,75,False,email,employer plan
TKT-02498,2025-03-01T14:01:00Z,appointment scheduling,Caller requests an appointment-time change under HP-38939.,26,False,phone,standard
TKT-02687,2025-03-01T14:29:00Z,billing question,Payment posting question references HP-93507.,44,False,phone,standard
TKT-01382,2025-03-01T15:01:00Z,referral status,Customer requests administrative referral status for HP-94269.,24,False,email,employer plan
TKT-00008,2025-03-01T15:02:00Z,portal access,Customer reports a locked portal account under HP-73239.,7,False,chat,employer plan
TKT-00792,2025-03-01T15:42:00Z,insurance eligibility,Customer requests administrative eligibility verification for HP-85950.,39,False,email,standard
TKT-00877,2025-03-01T15:51:00Z,portal access,Portal password reset requested for HP-25930.,10,False,web portal,standard
TKT-01310,2025-03-01T18:19:00Z,portal access,Portal password reset requested for HP-71504.,9,False,web portal,medicare support
TKT-02989,2025-03-01T19:43:00Z,prescription refill request,Refill request status inquiry references HP-29243; no clinical details included.,40,False,chat,standard
TKT-00209,2025-03-01T22:44:00Z,appointment scheduling,Caller requests an appointment-time change under HP-67612.,78,True,web portal,standard
TKT-02138,2025-03-02T00:11:00Z,medical records request,Customer asks which authorization form applies to HP-66436.,108,False,email,standard
TKT-02781,2025-03-02T02:10:00Z,prescription refill request,Administrative refill request requires licensed-team review under HP-55798.,86,False,web portal,employer plan
TKT-02909,2025-03-02T03:06:00Z,appointment scheduling,Administrative scheduling request for reference HP-54366.,16,False,email,employer plan
TKT-00882,2025-03-02T03:54:00Z,billing question,Customer asks about an administrative statement under HP-55700.,54,True,email,premium care
TKT-02271,2025-03-02T04:19:00Z,prescription refill request,Customer asks for refill-request routing under HP-29899.,146,True,phone,medicare support
TKT-02874,2025-03-02T08:31:00Z,medical records request,Records request status inquiry references HP-79593.,84,False,email,medicare support
TKT-00282,2025-03-02T11:30:00Z,referral status,Customer requests administrative referral status for HP-31239.,52,False,email,employer plan
TKT-01171,2025-03-02T11:40:00Z,prescription refill request,Customer asks for refill-request routing under HP-86909.,80,False,phone,standard
TKT-00789,2025-03-02T11:49:00Z,medical records request,Customer asks which authorization form applies to HP-93037.,83,False,phone,employer plan
TKT-01341,2025-03-02T12:35:00Z,insurance eligibility,Customer requests administrative eligibility verification for HP-24642.,129,True,phone,standard
TKT-02900,2025-03-02T14:51:00Z,portal access,Customer reports a locked portal account under HP-15903.,10,False,web portal,premium care
TKT-02246,2025-03-02T15:37:00Z,portal access,Customer reports a locked portal account under HP-11205.,11,False,web portal,standard
TKT-01199,2025-03-02T17:23:00Z,referral status,Referral routing update requested under HP-69350.,18,False,email,standard
TKT-02479,2025-03-02T17:24:00Z,billing question,Payment posting question references HP-46780.,45,False,web portal,standard
TKT-02163,2025-03-02T19:56:00Z,prescription refill request,Refill request status inquiry references HP-49079; no clinical details included.,79,True,phone,standard
TKT-02208,2025-03-03T01:19:00Z,billing question,Customer requests an explanation of a service charge for HP-38143.,51,False,phone,standard
TKT-02131,2025-03-03T01:35:00Z,prescription refill request,Customer asks for refill-request routing under HP-53624.,71,False,phone,employer plan
TKT-01953,2025-03-03T04:23:00Z,appointment scheduling,Administrative scheduling request for reference HP-32943.,12,False,phone,standard
TKT-00559,2025-03-03T05:18:00Z,prescription refill request,Customer asks for refill-request routing under HP-37085.,89,False,web portal,employer plan
TKT-00998,2025-03-03T05:21:00Z,insurance eligibility,Employer-plan eligibility status needs validation for HP-72398.,72,True,phone,medicare support
TKT-01008,2025-03-03T05:50:00Z,appointment scheduling,Customer asks about available scheduling options for HP-39599.,19,False,phone,medicare support
TKT-00515,2025-03-03T06:47:00Z,insurance eligibility,Customer requests administrative eligibility verification for HP-14507.,54,True,web portal,employer plan
TKT-00694,2025-03-03T11:21:00Z,insurance eligibility,Coverage administration question references HP-63316.,51,False,email,standard
TKT-01919,2025-03-03T12:18:00Z,portal access,Customer reports a locked portal account under HP-54385.,4,False,web portal,standard
TKT-00083,2025-03-03T16:04:00Z,portal access,Portal password reset requested for HP-86722.,16,False,web portal,standard
TKT-01184,2025-03-03T16:13:00Z,portal access,Customer reports a locked portal account under HP-24352.,5,False,web portal,medicare support
TKT-01241,2025-03-03T17:23:00Z,appointment scheduling,Customer asks about available scheduling options for HP-42854.,17,False,web portal,standard
TKT-00337,2025-03-03T19:00:00Z,general inquiry,Uncategorized administrative inquiry references HP-41719.,81,False,phone,medicare support
TKT-00761,2025-03-03T21:14:00Z,appointment scheduling,Customer asks about available scheduling options for HP-73675.,11,False,phone,employer plan
TKT-01785,2025-03-04T01:20:00Z,referral status,Customer asks whether referral paperwork was received for HP-62492.,54,False,web portal,standard
TKT-01663,2025-03-04T02:13:00Z,prescription refill request,Refill request status inquiry references HP-19499; no clinical details included.,77,False,phone,medicare support
TKT-02518,2025-03-04T03:33:00Z,portal access,Portal password reset requested for HP-60744.,12,False,web portal,medicare support
TKT-02826,2025-03-04T04:22:00Z,prescription refill request,Customer asks for refill-request routing under HP-28073.,98,True,phone,standard
TKT-00174,2025-03-04T04:57:00Z,medical records request,Customer requests records-release instructions under HP-44425.,57,False,email,medicare support
TKT-00695,2025-03-04T08:31:00Z,portal access,Customer reports a locked portal account under HP-12260.,13,False,chat,standard
TKT-01990,2025-03-04T09:14:00Z,portal access,Customer reports a locked portal account under HP-29497.,14,False,web portal,standard
TKT-00384,2025-03-04T10:04:00Z,appointment scheduling,Administrative scheduling request for reference HP-28710.,58,True,email,medicare support
TKT-01204,2025-03-04T11:29:00Z,insurance eligibility,Employer-plan eligibility status needs validation for HP-14391.,58,True,email,standard
TKT-01396,2025-03-04T13:35:00Z,referral status,Referral routing update requested under HP-14988.,41,False,phone,employer plan
TKT-01527,2025-03-04T14:49:00Z,medical records request,Customer asks which authorization form applies to HP-49222.,94,False,web portal,standard
TKT-00224,2025-03-04T17:34:00Z,billing question,Payment posting question references HP-94577.,29,False,email,standard
TKT-02828,2025-03-04T18:29:00Z,appointment scheduling,Administrative scheduling request for reference HP-60405.,39,True,phone,medicare support
TKT-02335,2025-03-04T18:51:00Z,appointment scheduling,Administrative scheduling request for reference HP-20176.,20,False,phone,employer plan
TKT-00626,2025-03-04T19:30:00Z,portal access,Portal password reset requested for HP-30780.,15,False,web portal,standard
TKT-02367,2025-03-04T20:13:00Z,prescription refill request,Refill request status inquiry references HP-34448; no clinical details included.,142,True,email,standard
TKT-01317,2025-03-04T20:38:00Z,prescription refill request,Refill request status inquiry references HP-34777; no clinical details included.,42,False,web portal,premium care
TKT-02730,2025-03-04T21:41:00Z,appointment scheduling,Caller requests an appointment-time change under HP-21152.,22,False,phone,standard
TKT-02409,2025-03-04T22:19:00Z,billing question,Customer requests an explanation of a service charge for HP-65323.,56,False,phone,standard
TKT-02888,2025-03-04T22:26:00Z,general inquiry,Customer request requires manual routing under HP-46619.,28,False,phone,medicare support
TKT-02290,2025-03-04T23:06:00Z,referral status,Customer asks whether referral paperwork was received for HP-13280.,95,True,email,standard
TKT-02362,2025-03-05T01:36:00Z,billing question,Customer asks about an administrative statement under HP-34122.,46,False,phone,standard
TKT-02875,2025-03-05T01:39:00Z,billing question,Customer asks about an administrative statement under HP-68266.,36,False,email,employer plan
TKT-01488,2025-03-05T04:08:00Z,insurance eligibility,Customer requests administrative eligibility verification for HP-10453.,66,False,web portal,standard
TKT-01665,2025-03-05T06:14:00Z,appointment scheduling,Customer asks about available scheduling options for HP-94894.,77,True,phone,standard
TKT-02869,2025-03-05T07:47:00Z,portal access,Portal password reset requested for HP-23561.,11,False,chat,employer plan
TKT-02031,2025-03-05T10:12:00Z,portal access,Portal password reset requested for HP-58821.,5,False,web portal,medicare support
TKT-01921,2025-03-05T13:27:00Z,prescription refill request,Customer asks for refill-request routing under HP-22346.,80,True,phone,standard
TKT-00642,2025-03-05T14:35:00Z,appointment scheduling,Customer asks about available scheduling options for HP-90966.,15,False,phone,employer plan
TKT-02443,2025-03-05T18:46:00Z,appointment scheduling,Caller requests an appointment-time change under HP-73412.,59,True,chat,medicare support
TKT-02071,2025-03-05T18:59:00Z,billing question,Payment posting question references HP-69071.,59,False,email,medicare support
TKT-01596,2025-03-05T19:14:00Z,prescription refill request,Administrative refill request requires licensed-team review under HP-88168.,36,False,email,medicare support
TKT-00881,2025-03-05T19:18:00Z,referral status,Customer asks whether referral paperwork was received for HP-72554.,51,False,email,standard
TKT-01692,2025-03-05T20:42:00Z,referral status,Customer asks whether referral paperwork was received for HP-31342.,19,False,web portal,medicare support
TKT-02764,2025-03-05T21:43:00Z,referral status,Referral routing update requested under HP-45537.,28,False,phone,standard
TKT-01107,2025-03-05T23:29:00Z,insurance eligibility,Customer requests administrative eligibility verification for HP-65368.,141,True,phone,medicare support
TKT-02207,2025-03-05T23:47:00Z,insurance eligibility,Coverage administration question references HP-43652.,30,False,email,standard
TKT-01178,2025-03-05T23:58:00Z,portal access,Customer reports a locked portal account under HP-73316.,9,False,chat,employer plan
